MSGSIZES,1,2,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,131072,262144,524288,1048576,2097152
L0_DUPLEX_1,0.9846,0.9796,0.9712,0.9797,0.9754,1.1334,1.7208,1.4442,1.3086,1.5576,2.1231,2.4834,3.3222,4.2688,8.5661,8.8194,10.8696,16.4365,31.8295,56.3487,104.9649,214.7046
L0_DUPLEX_2,0.9750,0.9737,0.9885,0.9738,0.9854,1.1310,1.1463,1.4730,1.3466,1.5590,2.0899,2.4819,3.3815,4.3045,8.9818,9.2752,11.0847,18.4013,37.2774,72.2149,136.4168,266.1099
L0_DUPLEX_3,0.9857,0.9951,0.9805,0.9950,0.9884,1.1472,1.1703,1.4855,1.3387,1.5873,2.1080,2.5503,3.5026,4.6125,10.1668,9.3634,11.5858,18.9209,39.2592,85.8074,166.0056,309.5084
L0_DUPLEX_4,0.9962,0.9880,0.9856,1.0004,0.9882,1.1663,1.1649,1.4714,1.3305,1.5777,2.1201,2.6375,3.5794,4.6116,9.0088,11.1165,12.4491,20.2938,43.4263,91.3589,177.0529,386.9941
L0_DUPLEX_5,1.1978,0.9898,0.9918,0.9959,0.9766,1.1687,1.1702,1.4665,1.3464,1.6119,2.1601,2.6547,3.7107,5.1564,11.6646,10.8486,14.5282,22.0773,43.2371,108.7734,204.5634,405.0437
L0_DUPLEX_6,1.0177,0.9927,1.0796,0.9842,1.0162,1.1775,1.1527,1.4745,1.3648,1.6001,2.1195,2.6410,3.6832,5.1198,9.8125,11.5916,16.5016,28.6614,61.1627,142.6007,287.9878,575.3104
L0_DUPLEX_7,1.4085,0.9946,1.0047,0.9833,1.0171,1.1500,1.1757,1.4790,1.3618,1.5952,2.1595,2.7627,3.9694,5.7558,9.8958,11.4013,16.0206,27.5853,57.8613,147.4381,292.4552,581.9960
L0_DUPLEX_8,0.9858,0.9931,1.0022,0.9898,1.0119,1.1582,1.1664,1.4878,1.3609,1.6083,2.1771,2.7609,3.9478,5.7512,9.9879,12.2282,16.0745,28.8312,72.9644,188.1370,379.1855,781.7245
L0_DUPLEX_9,1.0498,0.9904,1.0448,1.0021,0.9941,1.1747,1.1589,1.4838,1.3750,1.6232,2.2062,2.9865,4.3569,6.6259,10.5477,12.5767,16.9782,29.3308,72.8527,187.5983,376.4603,784.2332
L0_DUPLEX_10,1.0105,0.9936,1.0079,0.9951,1.0170,1.1738,1.1624,1.4869,1.3910,1.6268,2.2021,2.9774,4.2608,6.6451,15.8371,13.2821,18.0706,31.9872,88.3226,228.6261,487.5666,943.4747
L0_DUPLEX_11,1.0235,0.9914,1.0135,1.0623,0.9985,1.1776,1.1593,1.4805,1.4122,1.6614,2.5542,3.1529,4.7624,7.5918,16.7553,16.8358,18.7172,33.8875,100.3417,245.9689,491.7229,1013.0118
L0_DUPLEX_12,0.9921,1.0090,1.0064,0.9900,1.0145,1.1598,1.2008,1.4862,1.3970,1.6545,2.2695,3.1610,4.7102,7.6211,18.2318,14.2600,19.4402,32.8653,106.8063,273.6391,563.6651,1144.2912
L0_DUPLEX_13,0.9947,1.0342,1.0005,1.0224,1.0243,1.1624,1.1826,1.4935,1.4071,1.7124,2.3424,3.4252,5.2029,8.5805,18.8313,14.4180,19.2191,37.1168,112.1999,307.7387,626.8552,1273.7611
L0_DUPLEX_14,0.9992,0.9948,1.0235,1.0125,1.0308,1.1930,1.1661,1.4840,1.4159,1.7037,2.3851,7.7653,5.1999,8.6456,20.2487,15.4139,20.4274,39.4257,132.6076,318.1806,656.5315,1304.3739
L0_DUPLEX_15,1.0367,1.0287,1.0079,1.0030,1.0170,1.1620,1.2347,1.5104,1.4305,1.8210,2.5226,3.7816,6.2338,12.8573,20.0480,18.8747,23.6138,42.2141,136.3278,366.9053,726.8091,1470.6940
L0_PING_1,0.3540,0.3734,0.4320,0.3704,0.3936,0.3602,0.3796,0.7130,0.6378,0.7879,1.1274,1.2612,1.9070,2.5968,7.9772,7.9844,9.6579,14.2235,28.7798,52.5387,97.2000,190.8445
L0_PING_2,0.4296,0.4440,0.4418,0.4430,0.4445,0.4067,0.4214,0.7180,0.6477,0.7877,1.1362,1.2691,1.8934,2.6374,7.9877,8.0371,9.8063,16.4519,31.2750,59.3104,110.9973,214.7503
L0_PING_3,0.4224,0.4515,0.4257,0.4068,0.4048,0.3852,0.3923,0.7249,0.6555,0.7928,1.1490,1.3472,2.0196,2.8985,8.1396,8.1272,9.8090,15.5285,31.6158,59.2005,113.1340,222.6738
L0_PING_4,0.3992,0.4141,0.4215,0.4237,0.4161,0.4047,0.3976,0.7186,0.6604,0.7918,1.1428,1.3530,2.0603,2.9426,7.6871,8.3526,10.1642,16.9960,34.2308,66.8798,128.1450,249.8102
L0_PING_5,0.4249,0.4233,0.4366,0.4401,0.4289,0.4048,0.4306,0.7253,0.6586,0.8096,1.1635,1.4709,2.3350,3.4060,7.8354,13.0363,10.4051,16.2447,34.1843,81.6176,145.0751,290.2279
L0_PING_6,0.4265,0.4404,0.4144,0.4421,0.4266,0.4064,0.4068,0.7708,0.7177,0.8110,1.1528,1.5066,2.3736,3.4565,7.6952,8.3548,10.7981,19.6267,40.0062,91.3540,187.0247,384.1035
L0_PING_7,0.4326,0.4357,0.4478,0.4293,0.4391,0.4039,0.4232,0.7372,0.6778,0.8200,1.2025,1.7504,2.8260,4.1806,7.8845,8.3953,10.6478,19.9704,38.6372,104.8345,211.9467,427.4719
L0_PING_8,0.4389,0.4448,0.4325,0.4302,0.4356,0.4172,0.4067,0.7253,0.6753,0.8131,1.2072,1.7628,2.8347,4.1760,7.9041,8.4234,10.9100,20.0875,42.0565,119.5947,246.4719,521.3272
L0_PING_9,0.4542,0.4480,0.4334,0.4534,0.4461,0.4243,0.4296,0.7393,0.6726,0.8799,1.2526,1.9089,3.0744,4.7939,8.1239,8.5651,12.0114,24.5091,48.0252,126.6420,255.3930,521.5122
L0_PING_10,0.4400,0.4415,0.4531,0.4395,0.4536,0.4064,0.4127,0.7694,0.6778,0.8477,1.2406,1.9408,3.1388,8.0512,10.0970,9.0644,12.1115,34.9237,56.0317,143.3045,290.3855,610.2460
L0_PING_11,0.4624,0.4485,0.4544,0.4620,0.4554,0.4376,0.4409,0.7615,0.6829,0.8823,1.3364,2.1044,3.4930,5.6456,9.4323,8.8200,17.9867,29.2386,69.4260,168.0738,353.4298,702.2451
L0_PING_12,0.4573,0.4602,0.4466,0.4795,0.4507,0.4158,0.4476,0.7521,0.7029,0.8642,1.3322,2.1292,3.5702,5.6600,13.5474,9.3311,14.4401,29.3013,60.5837,178.5880,354.0731,711.4006
L0_PING_13,0.4533,0.4545,0.4603,0.4641,0.4631,0.4289,0.4434,4.6758,0.7592,0.9101,1.3993,2.3231,3.9190,6.3898,13.1692,9.4454,16.7227,34.0005,66.5379,183.4069,390.3009,799.8009
L0_PING_14,0.4827,0.4623,0.4513,0.4908,0.4584,0.4680,0.4681,0.7626,0.6959,0.9272,5.8387,2.3232,3.9246,6.4866,11.5622,9.6445,16.7164,33.9426,66.6377,220.0825,395.0842,806.6485
L0_PING_15,0.4609,0.4617,0.4574,0.4531,0.4622,0.4268,0.4255,0.8645,0.7648,0.9744,1.5967,2.5970,4.3711,7.3184,12.1346,9.9716,19.0831,38.9471,75.6484,208.2326,443.4694,902.3489
L0_INTER_DUPLEX_1,0.9846,0.9796,0.9712,0.9797,0.9754,1.1334,1.7208,1.4442,1.3086,1.5576,2.1231,2.4834,3.3222,4.2688,8.5661,8.8194,10.8696,16.4365,31.8295,56.3487,104.9649,214.7046
L0_INTER_DUPLEX_2,0.9750,0.9737,0.9885,0.9738,0.9854,1.1310,1.1463,1.4730,1.3466,1.5590,2.0899,2.4819,3.3815,4.3045,8.9818,9.2752,11.0847,18.4013,37.2774,72.2149,136.4168,266.1099
L0_INTER_DUPLEX_3,0.9857,0.9951,0.9805,0.9950,0.9884,1.1472,1.1703,1.4855,1.3387,1.5873,2.1080,2.5503,3.5026,4.6125,10.1668,9.3634,11.5858,18.9209,39.2592,85.8074,166.0056,309.5084
L0_INTER_DUPLEX_4,0.9962,0.9880,0.9856,1.0004,0.9882,1.1663,1.1649,1.4714,1.3305,1.5777,2.1201,2.6375,3.5794,4.6116,9.0088,11.1165,12.4491,20.2938,43.4263,91.3589,177.0529,386.9941
L0_INTER_DUPLEX_5,1.1978,0.9898,0.9918,0.9959,0.9766,1.1687,1.1702,1.4665,1.3464,1.6119,2.1601,2.6547,3.7107,5.1564,11.6646,10.8486,14.5282,22.0773,43.2371,108.7734,204.5634,405.0437
L0_INTER_DUPLEX_6,1.0177,0.9927,1.0796,0.9842,1.0162,1.1775,1.1527,1.4745,1.3648,1.6001,2.1195,2.6410,3.6832,5.1198,9.8125,11.5916,16.5016,28.6614,61.1627,142.6007,287.9878,575.3104
L0_INTER_DUPLEX_7,1.4085,0.9946,1.0047,0.9833,1.0171,1.1500,1.1757,1.4790,1.3618,1.5952,2.1595,2.7627,3.9694,5.7558,9.8958,11.4013,16.0206,27.5853,57.8613,147.4381,292.4552,581.9960
L0_INTER_DUPLEX_8,0.9858,0.9931,1.0022,0.9898,1.0119,1.1582,1.1664,1.4878,1.3609,1.6083,2.1771,2.7609,3.9478,5.7512,9.9879,12.2282,16.0745,28.8312,72.9644,188.1370,379.1855,781.7245
L0_INTER_DUPLEX_9,1.0498,0.9904,1.0448,1.0021,0.9941,1.1747,1.1589,1.4838,1.3750,1.6232,2.2062,2.9865,4.3569,6.6259,10.5477,12.5767,16.9782,29.3308,72.8527,187.5983,376.4603,784.2332
L0_INTER_DUPLEX_10,1.0105,0.9936,1.0079,0.9951,1.0170,1.1738,1.1624,1.4869,1.3910,1.6268,2.2021,2.9774,4.2608,6.6451,15.8371,13.2821,18.0706,31.9872,88.3226,228.6261,487.5666,943.4747
L0_INTER_DUPLEX_11,1.0235,0.9914,1.0135,1.0623,0.9985,1.1776,1.1593,1.4805,1.4122,1.6614,2.5542,3.1529,4.7624,7.5918,16.7553,16.8358,18.7172,33.8875,100.3417,245.9689,491.7229,1013.0118
L0_INTER_DUPLEX_12,0.9921,1.0090,1.0064,0.9900,1.0145,1.1598,1.2008,1.4862,1.3970,1.6545,2.2695,3.1610,4.7102,7.6211,18.2318,14.2600,19.4402,32.8653,106.8063,273.6391,563.6651,1144.2912
L0_INTER_DUPLEX_13,0.9947,1.0342,1.0005,1.0224,1.0243,1.1624,1.1826,1.4935,1.4071,1.7124,2.3424,3.4252,5.2029,8.5805,18.8313,14.4180,19.2191,37.1168,112.1999,307.7387,626.8552,1273.7611
L0_INTER_DUPLEX_14,0.9992,0.9948,1.0235,1.0125,1.0308,1.1930,1.1661,1.4840,1.4159,1.7037,2.3851,7.7653,5.1999,8.6456,20.2487,15.4139,20.4274,39.4257,132.6076,318.1806,656.5315,1304.3739
L0_INTER_DUPLEX_15,1.0367,1.0287,1.0079,1.0030,1.0170,1.1620,1.2347,1.5104,1.4305,1.8210,2.5226,3.7816,6.2338,12.8573,20.0480,18.8747,23.6138,42.2141,136.3278,366.9053,726.8091,1470.6940
L0_INTER_PING_1,0.3540,0.3734,0.4320,0.3704,0.3936,0.3602,0.3796,0.7130,0.6378,0.7879,1.1274,1.2612,1.9070,2.5968,7.9772,7.9844,9.6579,14.2235,28.7798,52.5387,97.2000,190.8445
L0_INTER_PING_2,0.4296,0.4440,0.4418,0.4430,0.4445,0.4067,0.4214,0.7180,0.6477,0.7877,1.1362,1.2691,1.8934,2.6374,7.9877,8.0371,9.8063,16.4519,31.2750,59.3104,110.9973,214.7503
L0_INTER_PING_3,0.4224,0.4515,0.4257,0.4068,0.4048,0.3852,0.3923,0.7249,0.6555,0.7928,1.1490,1.3472,2.0196,2.8985,8.1396,8.1272,9.8090,15.5285,31.6158,59.2005,113.1340,222.6738
L0_INTER_PING_4,0.3992,0.4141,0.4215,0.4237,0.4161,0.4047,0.3976,0.7186,0.6604,0.7918,1.1428,1.3530,2.0603,2.9426,7.6871,8.3526,10.1642,16.9960,34.2308,66.8798,128.1450,249.8102
L0_INTER_PING_5,0.4249,0.4233,0.4366,0.4401,0.4289,0.4048,0.4306,0.7253,0.6586,0.8096,1.1635,1.4709,2.3350,3.4060,7.8354,13.0363,10.4051,16.2447,34.1843,81.6176,145.0751,290.2279
L0_INTER_PING_6,0.4265,0.4404,0.4144,0.4421,0.4266,0.4064,0.4068,0.7708,0.7177,0.8110,1.1528,1.5066,2.3736,3.4565,7.6952,8.3548,10.7981,19.6267,40.0062,91.3540,187.0247,384.1035
L0_INTER_PING_7,0.4326,0.4357,0.4478,0.4293,0.4391,0.4039,0.4232,0.7372,0.6778,0.8200,1.2025,1.7504,2.8260,4.1806,7.8845,8.3953,10.6478,19.9704,38.6372,104.8345,211.9467,427.4719
L0_INTER_PING_8,0.4389,0.4448,0.4325,0.4302,0.4356,0.4172,0.4067,0.7253,0.6753,0.8131,1.2072,1.7628,2.8347,4.1760,7.9041,8.4234,10.9100,20.0875,42.0565,119.5947,246.4719,521.3272
L0_INTER_PING_9,0.4542,0.4480,0.4334,0.4534,0.4461,0.4243,0.4296,0.7393,0.6726,0.8799,1.2526,1.9089,3.0744,4.7939,8.1239,8.5651,12.0114,24.5091,48.0252,126.6420,255.3930,521.5122
L0_INTER_PING_10,0.4400,0.4415,0.4531,0.4395,0.4536,0.4064,0.4127,0.7694,0.6778,0.8477,1.2406,1.9408,3.1388,8.0512,10.0970,9.0644,12.1115,34.9237,56.0317,143.3045,290.3855,610.2460
L0_INTER_PING_11,0.4624,0.4485,0.4544,0.4620,0.4554,0.4376,0.4409,0.7615,0.6829,0.8823,1.3364,2.1044,3.4930,5.6456,9.4323,8.8200,17.9867,29.2386,69.4260,168.0738,353.4298,702.2451
L0_INTER_PING_12,0.4573,0.4602,0.4466,0.4795,0.4507,0.4158,0.4476,0.7521,0.7029,0.8642,1.3322,2.1292,3.5702,5.6600,13.5474,9.3311,14.4401,29.3013,60.5837,178.5880,354.0731,711.4006
L0_INTER_PING_13,0.4533,0.4545,0.4603,0.4641,0.4631,0.4289,0.4434,4.6758,0.7592,0.9101,1.3993,2.3231,3.9190,6.3898,13.1692,9.4454,16.7227,34.0005,66.5379,183.4069,390.3009,799.8009
L0_INTER_PING_14,0.4827,0.4623,0.4513,0.4908,0.4584,0.4680,0.4681,0.7626,0.6959,0.9272,5.8387,2.3232,3.9246,6.4866,11.5622,9.6445,16.7164,33.9426,66.6377,220.0825,395.0842,806.6485
L0_INTER_PING_15,0.4609,0.4617,0.4574,0.4531,0.4622,0.4268,0.4255,0.8645,0.7648,0.9744,1.5967,2.5970,4.3711,7.3184,12.1346,9.9716,19.0831,38.9471,75.6484,208.2326,443.4694,902.3489
L1_0_PING_1,0.2446,0.2423,0.2390,0.2376,0.2507,0.2497,0.3552,0.3297,0.3707,0.3735,0.5005,0.6371,0.7980,1.3024,10.8932,12.2203,13.9183,19.8734,29.7838,50.0300,90.6188,172.6042
L1_0_PING_2,0.6977,0.6907,0.7014,0.6896,0.7138,0.7179,0.8431,0.4489,0.4834,0.5456,0.7260,0.9302,1.3078,2.5564,11.9828,12.4644,14.8239,24.2073,42.4096,82.2245,162.1472,324.2193
L1_0_PING_3,0.6846,0.6807,0.6797,0.6842,0.6791,0.7190,0.8644,0.4427,0.5416,0.5782,0.7976,1.0544,1.9588,3.8322,13.2792,13.1323,18.0163,32.1694,61.7645,122.2359,242.2703,484.2421
L1_0_PING_4,0.7413,0.7257,0.7155,0.6993,0.7409,0.7605,0.8744,0.4589,0.5062,0.6076,0.7958,1.3692,2.6133,5.1215,12.8467,13.4442,20.9218,41.7789,81.9370,162.1455,322.7429,645.2601
L1_0_PING_5,0.7481,0.7611,0.7209,0.6980,0.7215,0.7208,0.8973,0.4378,0.5037,0.6419,0.9335,1.6992,3.2548,6.3746,12.6324,14.6628,25.7504,54.2561,101.6979,201.8133,401.8562,801.1875
L1_0_PING_6,0.7199,0.7339,0.6881,0.6990,0.7320,0.7252,0.8864,0.4748,0.5566,0.7354,1.1279,2.0410,3.9058,7.6471,12.9173,16.5037,30.7095,61.7781,122.5515,241.8734,482.2207,960.4012
L1_0_PING_7,0.7353,0.7209,0.7201,0.7691,0.7539,0.7658,0.8934,0.5582,0.6358,0.9030,1.3009,2.3778,4.5541,8.9203,13.6864,18.2934,35.6098,71.6051,142.1787,282.2132,560.8544,1122.3105
L1_0_PING_8,0.7257,0.7296,0.7258,0.7149,0.6996,0.7383,12.1019,12.9010,12.3584,13.0413,14.7321,17.7309,23.6832,24.8586,14.6636,23.2311,41.3638,82.8255,162.0227,321.1223,640.3957,1283.6235
L1_0_PING_9,0.7698,0.7608,0.8237,0.7661,0.7896,0.7783,1.4113,1.0172,1.1236,1.3206,2.0521,8.5276,19.5130,11.4803,20.8853,24.8519,46.9301,91.9938,202.1750,360.8971,720.2210,1443.5401
L1_0_PING_10,0.8812,0.8535,0.8623,0.8540,0.8744,0.8726,1.0137,1.0387,1.0732,1.5330,1.8688,3.4068,6.5482,12.7481,19.2672,27.5059,51.0006,103.4390,201.5329,400.6816,799.2224,1601.9179
L1_0_PING_11,0.8197,0.7902,0.7799,0.7785,0.7496,0.8177,13.0813,12.6322,13.7474,13.6984,15.3822,18.5308,24.7743,25.9245,18.3358,28.6540,56.4600,112.5450,221.3161,440.6514,882.5718,1763.3521
L1_0_PING_12,0.7711,0.7696,0.7523,0.7682,0.7834,0.7941,14.7449,14.5440,14.8630,15.8173,17.3127,20.8907,28.2779,29.0709,19.1217,31.0884,60.5864,122.2394,241.0965,480.6466,962.7151,1921.5350
L1_0_PING_13,0.8485,0.8189,0.8346,0.8113,0.7986,0.8535,13.1012,13.0252,13.3675,14.6216,15.8686,18.9548,25.5016,28.7794,21.8202,33.5945,65.7805,131.6024,261.3598,522.0176,1043.5805,2079.6001
L1_0_PING_14,0.9553,1.0074,0.9595,0.8973,0.8837,0.9614,13.8881,13.5243,14.1562,14.9197,16.7749,20.1188,26.4578,25.8326,23.7639,36.9238,70.7273,141.8171,281.7254,562.8269,1122.7415,2241.6132
L1_0_PING_15,0.9236,0.9136,0.8933,0.7737,0.7526,1.1219,13.0204,12.6206,13.5091,13.6941,15.4350,19.5218,25.1989,29.4449,22.8736,40.7247,75.8358,151.8000,301.7113,602.8806,1202.8453,2401.5239
L1_0_PING_16,1.1593,1.0563,1.1384,0.9911,1.1176,1.0758,12.9131,12.5063,13.2544,13.7986,15.3482,18.3549,24.7821,27.9106,23.3757,40.9825,80.9798,165.5849,321.7296,642.6259,1282.8909,2562.0245
L1_0_PING_17,1.0117,0.9011,0.9171,0.9031,0.8578,0.8610,12.8240,12.4495,13.0293,13.5988,15.2192,18.2931,24.7832,36.5615,25.8642,44.5834,85.8553,173.1490,343.3770,682.7889,1362.2138,2720.8577
L1_0_PING_18,1.1036,1.1383,1.1391,0.9937,0.9816,1.0780,13.7511,13.5694,14.5163,15.0470,16.6432,22.0452,24.2751,26.1435,26.7133,47.9397,91.8797,194.9687,362.6176,722.5717,1440.3182,2878.6043
L1_0_PING_19,1.1879,1.1732,1.2222,1.0783,1.1166,1.1083,13.8762,13.4131,14.0192,14.8426,16.8312,20.0155,28.0533,28.5032,29.7914,50.9459,96.9866,193.2354,383.7969,763.1342,1520.4225,3035.1931
L1_0_PING_20,1.0068,1.0466,0.9783,0.9131,0.9371,0.9446,12.9567,12.4673,13.8815,16.3151,15.3448,19.8318,27.5168,27.7151,38.5829,51.7587,102.3869,208.9428,404.4700,802.6260,1601.8228,3192.6721
L1_0_PING_21,1.1788,1.1906,1.1335,1.1562,1.1585,1.1541,14.2469,13.4342,14.6725,18.1043,16.9018,20.5694,28.3300,31.4904,31.2069,54.2550,106.6404,213.4197,423.2287,842.7080,1681.3456,3356.3378
L1_0_PING_22,4.7443,1.2591,1.2636,1.2168,1.2156,1.5125,13.9353,13.7787,14.9843,15.2133,16.7351,21.4042,30.0280,36.9246,33.1119,57.3922,111.6073,223.1963,442.6974,880.4928,1761.8488,3515.8137
L1_0_PING_23,1.3396,1.2742,1.2431,1.2471,4.8722,1.4167,17.5962,16.6548,14.2481,14.5263,16.2622,20.3839,29.2097,36.4107,40.3501,60.8570,116.9588,232.3005,463.0933,921.5714,1837.1624,3680.2333
